City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,12.19,76,40,5.66,US,1707081858
1,pokrovsk,48.282,37.1758,2.79,90,100,5.42,UA,1707081859
2,salinas,36.6777,-121.6555,17.29,83,75,13.38,US,1707081859
3,avarua,-21.2078,-159.775,29.03,74,20,2.57,CK,1707081859
4,sovetskiy,61.3614,63.5842,-17.28,92,97,2.24,RU,1707081860
5,khouribga,32.9333,-6.6,13.11,41,93,2.67,MA,1707081860
6,yellowknife,62.456,-114.3525,-19.77,80,20,3.09,CA,1707081626
7,invercargill,-46.4,168.35,15.57,96,79,3.13,NZ,1707081634
8,ar ruways,24.1103,52.7306,18.01,58,27,5.93,AE,1707081861
9,broome,42.2506,-75.833,6.0,51,0,3.6,US,1707081694
10,thompson,55.7435,-97.8558,-3.91,86,100,4.12,CA,1707081631
11,bethel,41.3712,-73.414,6.53,47,0,5.14,US,1707081861
12,adamstown,-25.066,-130.1015,24.99,79,98,4.5,PN,1707081862
13,uvira,-3.4067,29.1458,23.15,82,100,0.78,CD,1707081862
14,grytviken,-54.2811,-36.5092,3.22,70,14,5.63,GS,1707081862
15,atafu village,-8.5421,-172.5159,29.2,76,97,9.4,TK,1707081621
16,kharovsk,59.9642,40.1912,-9.54,98,100,1.39,RU,1707081863
17,lieksa,63.3167,30.0167,-5.56,97,95,2.84,FI,1707081863
18,yambio,4.5721,28.3955,25.69,28,69,3.35,SS,1707081863
19,edinburgh of the seven seas,-37.0676,-12.3116,16.03,76,70,8.4,SH,1707081638
20,alice springs,-23.7,133.8833,28.75,32,37,6.17,AU,1707081582
21,taksimo,56.3444,114.8794,-25.53,97,100,0.03,RU,1707081864
22,ilulissat,69.2167,-51.1,-21.99,54,7,1.54,GL,1707081626
23,nar'yan-mar,67.6713,53.087,-19.38,91,87,3.13,RU,1707081628
24,port-aux-francais,-49.35,70.2167,5.14,72,10,8.73,TF,1707081618
25,puerto ayora,-0.7393,-90.3518,27.98,90,69,4.02,EC,1707081864
26,aasiaat,68.7098,-52.8699,-31.72,88,12,2.06,GL,1707081630
27,la sarre,48.8002,-79.1996,0.05,96,100,1.13,CA,1707081575
28,west island,-12.1568,96.8225,26.99,83,100,4.63,CC,1707081865
29,kodiak,57.79,-152.4072,1.73,80,0,4.12,US,1707081632
30,waitangi,-43.9535,-176.5597,18.23,77,35,5.82,NZ,1707081630
31,jiangyan,32.5061,120.1428,0.55,94,48,5.21,CN,1707081865
32,leua,48.2156,18.6071,10.83,80,100,9.35,SK,1707081865
33,stanley,54.868,-1.6985,11.82,79,75,12.86,GB,1707081406
34,longyearbyen,78.2186,15.6401,-1.09,80,75,12.86,SJ,1707081494
35,jamestown,42.097,-79.2353,6.8,42,0,5.14,US,1707081651
